#Frame           phi1         psi1
     228     -61.6143     141.1859
     229     -69.7907     147.3579
     230     -60.0083     137.3814
     231     -66.8467     132.3124
     232     -58.0232     150.5588
     233     -76.9292     161.2946
     234     -71.7744     137.2491
     235     -76.5974     135.6325
     236     -78.0755     129.7355
     237     -58.4304     115.2008
     238     -67.9372     144.1064
     239     -84.1762     153.3504
     240     -59.5853     140.5245
     241     -73.1025     140.5805
     242     -75.3167     138.0703
     243     -76.2547     125.9632
     244     -57.9149     144.2984
     245     -59.4895     118.1796
     246     -74.0906     149.4247
     247     -63.3588     124.9432
     248     -78.7405     121.6936
     249    -103.0925     142.1784
     250     -73.7132     137.4232
     251     -89.4956     155.0280
     252     -54.2792     118.0503
     253     -70.5267     142.5940
     254     -61.9385     142.8419
     255     -74.7058     140.1567
     256    -117.4668     134.1425
     257     -81.0920     159.7249
     258    -108.1712     141.6580
     259     -96.1082     141.8751
     260     -72.1629     141.3903
     261     -73.1743     127.2580
     262     -91.8303     146.8597
     263     -40.5042     133.6407
     264     -67.8657     144.7308
     265     -80.9407     139.2013
     266     -82.1726     161.3570
     267     -67.1982     143.6009
     268     -73.4617     148.4098
     269     -79.3767     134.7875
     270     -74.4838     151.6638
     271     -85.4418     163.1480
     272     -73.7582     122.4701
     273     -71.8819     122.8103
     274     -84.0725     120.2721
     275     -75.8161     143.7020
     276    -101.5856     126.8783
     277     -67.7000     157.9845
     278     -64.2872     165.6687
     279     -69.2195     134.0824
     280     -76.5307     132.9746
     281     -77.1241     138.4877
     282     -52.6070     125.1338
     283     -72.4403     136.2188
     284     -54.7850     127.3594
     285     -70.7588     140.5478
     286     -63.2716     131.4011
     287     -80.9493     126.0784
     288     -57.3503     140.3577
     289     -83.4382     164.4443
     290    -109.9212     147.3380
     291     -72.6593     142.1718
     292     -58.3966     147.9220
     293     -95.4728     147.4304
     294     -79.3564     122.3402
     295     -62.4729     138.5139
     296     -68.6364     142.6784
     297     -75.0608     158.6889
     298     -72.9911     137.1312
     299     -59.0275     133.0002
     300     -53.2460     134.7746
     301     -60.7870     138.9976
     302     -61.6592     147.5133
     303     -71.2345     145.1080
     304     -65.1499     154.6960
     305     -68.4645     148.9813
     306     -65.3879     163.6127
     307     -92.8168     152.8046
     308     -95.3561     165.0203
     309     -67.4593     157.1281
     310     -64.2748     143.9128
     311     -76.6861     157.6517
     312     -87.4756     128.8566
     313     -90.1795     149.4606
     314     -65.4972     132.4478
     315     -68.9574     125.6251
     316     -65.1458     128.8548
     317     -63.3306     141.2803
     318     -51.7100     140.9446
     319     -72.8887     146.0569
     320     -63.9070     135.3796
     321     -68.0305     147.0933
     322     -91.7439     140.1973
     323     -61.1648     152.9331
     324     -60.3624     146.2540
     325     -84.9592     155.5069
     326     -65.7850     148.1270
     327     -89.3856     131.7383
     328     -80.6516     127.5233
     329     -85.7448     122.5696
     330     -78.8710     147.5667
     331     -68.1068     143.1728
     332     -61.2091     155.5325
     333     -80.7224     161.0403
     334    -104.7766     149.0443
     335     -76.8947     134.3394
     336     -70.9928     147.1607
     337     -52.6535     123.4010
     338     -75.0867     130.9641
     339     -55.6527     145.7057
     340     -79.4898     117.8329
     341     -98.4230     177.4057
     342    -107.4629     143.1364
     343     -79.3024     147.3663
     344     -99.1389    -176.0531
     345     -85.5704     171.5374
     346    -104.8379     159.3006
     347     -88.7725     155.3018
     348     -72.8069     165.2263
     349     -68.0290     130.2653
     350     -58.8663     149.3872
     351     -71.2517     146.8436
     352     -59.9655     139.6649
     353     -57.3510     157.8568
     354     -75.3431     148.9030
     355     -68.7612     121.8100
