1APM,363,137,134,92,   
1ATP,358,133,130,95,  
1BKX,340,125,129,86,  
1BX6,340,125,129,86,  
1CDK,730,277,257,196,  
1CM8,666,258,225,183, S S
1CMK,372,142,139,91,  
1CTP,355,133,129,93, H
1E9H,1113,524,337,252,  
1FMO,360,129,137,94,  
1FOT,302,104,122,76, 
1FQ1,481,176,163,142,T
1G6G,275,29,165,81,  
1GXC,504,27,341,136,    
1GY3,1128,551,322,255, 
1H1P,1114,546,329,239,  
1H1Q,1114,531,344,239,  
1H1R,1114,557,314,243,  
1H1S,1114,558,316,240,  
1H24,1118,549,325,244,  
1H25,1105,534,325,246,  
1H26,1096,534,320,242,  
1H27,1117,557,312,248,  
1H28,1134,531,349,254,  
1I8G,51,0,35,16, 
1I8H,54,0,24,30, 
1IB1,1632,963,402,267,    
1J3H,666,253,241,172,      
1J4L,169,8,104,57, 
1J4P,166,25,92,49,S
1J4Q,166,25,92,49, 
1J4X,191,78,66,47,   
1JBP,364,136,134,94,   
1JLU,361,138,132,91,   
1JST,1116,549,313,254,  
1JSU,616,301,178,137, 
1K2N,169,8,106,55, 
1K3N,166,24,94,48,S
1K3Q,166,24,97,45,S
1L3R,364,130,131,103,   
1NEX,1171,277,683,211,EHHSESTTEEHHSESTTE  
1NZS,20,5,10,5,S STSHH
1O6K,331,108,133,90, 
1O6L,330,111,130,89, 
1O9D,238,193,19,26, 
1O9F,239,194,17,28, 
1OGU,1085,542,303,240,  
1OI9,1109,545,322,242,  
1OIU,1081,552,295,234,  
1OIY,1112,543,326,243,  
1OL5,297,120,103,74,  
1OL7,264,105,100,59,S 
1P5E,1114,543,327,244,  
1PKD,1114,546,326,242,  
1Q24,359,131,135,93,  
1Q4K,685,198,347,140,   
1Q61,359,134,132,93,  
1Q62,360,133,135,92,  
1Q8T,363,134,136,93,   
1Q8U,366,136,136,94,H  
1Q8W,359,135,132,92,   
1QMZ,1130,561,311,258,  
1RDQ,365,129,134,102,  
1RE8,340,129,132,79,  
1REJ,336,129,125,82,  
1REK,339,130,122,87,  
1SMH,372,150,130,92,  
1STC,355,134,129,92,  
1SVE,365,137,136,92,H  
1SVG,363,136,136,91,   
1SVH,358,132,133,93,  
1SYK,678,267,251,160,    
1SZM,647,235,258,154,      
1TH1,1145,785,202,158,          
1U9I,2910,903,1461,546,GGGGGGGGGG
1UA2,1156,383,432,341,    
1UMW,462,127,239,96,  
1V50,18,9,2,7,H
1V54,3584,2056,819,709,        
1V55,3584,2058,821,705,        
1VEB,363,136,136,91,   
1VQX,20,5,9,6,T SS HH
1W98,570,275,167,128, 
1XH4,359,131,136,92,   
1XH5,359,130,134,95,  
1XH6,355,127,136,92,  
1XH7,363,135,138,90,    
1XH8,361,138,131,92,  
1XH9,360,131,133,96,  
1XHA,372,143,139,90,  
1XJD,284,108,113,63,  
1YDR,358,130,135,93,  
1YDS,358,130,135,93,  
1YDT,358,136,129,93,  
1YJM,338,0,241,97,   
1YRP,554,184,229,141,  
1ZRZ,315,108,124,83,  
2A0T,163,24,90,49, 
2A19,641,244,255,142, 
2A1A,435,169,184,82, 
2AFF,140,17,89,34,T  
2AST,551,188,215,148, 
2B2T,447,172,179,96,ETHETHET  
2BFX,634,259,218,157,  
2BFY,625,248,223,154,  
2C1A,357,129,135,93,  
2C1B,357,129,132,96,  
2C6T,1112,542,320,250,  
2CCH,1140,554,328,258,  
2CCI,1151,518,349,284,  
2CJM,1102,541,321,240,S T 
2CPK,358,135,130,93,   
2DYR,3584,2061,823,700,        
2DYS,3584,2065,813,706,        
2EIJ,3584,2061,823,700,        
2EIK,3584,2066,816,702,        
