#Frame    overall[UU] modiaccept[UU] modidonor[UU] modiaccept2[UU] modidonor2[UU]
       1           42              1             0               0              0
       2           36              1             0               0              0
       3           38              1             0               0              1
       4           41              1             1               0              0
       5           37              1             0               0              0
       6           37              1             0               0              0
       7           34              1             0               0              0
       8           33              1             0               0              0
       9           36              1             1               0              0
      10           42              1             0               0              0
      11           36              0             0               0              0
      12           37              1             1               0              0
      13           38              1             0               0              0
      14           38              1             0               0              0
      15           43              1             0               0              0
      16           33              1             0               0              0
      17           36              1             0               0              0
      18           30              0             0               0              0
      19           38              1             0               0              0
      20           41              1             0               0              0
      21           35              1             0               0              0
      22           43              1             0               0              0
      23           38              1             0               0              0
      24           44              1             0               0              0
      25           45              1             0               0              0
      26           39              1             0               0              0
      27           43              1             0               0              0
      28           40              0             0               0              0
      29           34              1             0               0              0
      30           52              1             1               0              0
      31           32              1             0               0              0
      32           45              1             0               0              0
      33           32              1             0               0              0
      34           36              1             0               0              0
      35           39              1             0               0              0
      36           40              1             0               0              0
      37           39              1             0               0              0
      38           44              1             0               0              0
      39           41              1             0               0              0
      40           36              1             0               0              0
      41           47              1             0               0              0
      42           39              1             0               0              0
      43           43              1             0               0              0
      44           35              1             0               0              0
      45           39              1             1               0              0
      46           42              1             0               0              0
      47           45              1             1               0              0
      48           46              1             1               0              0
      49           35              0             0               0              0
      50           46              2             0               0              0
      51           37              1             0               0              0
      52           46              1             1               0              0
      53           39              1             1               0              1
      54           38              1             0               0              0
      55           38              1             0               0              0
      56           40              1             0               0              1
      57           47              1             1               0              0
      58           40              1             0               0              0
      59           41              1             0               0              0
      60           47              1             0               0              0
      61           43              1             0               0              0
      62           36              1             1               0              0
      63           42              1             1               0              0
      64           42              1             0               0              0
      65           42              1             0               0              0
      66           33              1             1               0              0
      67           31              1             1               0              0
      68           44              1             0               0              0
      69           33              1             1               0              0
      70           40              1             0               0              0
      71           35              1             1               0              0
      72           34              0             0               0              0
      73           30              1             0               0              0
      74           35              1             0               0              0
      75           38              1             0               0              0
      76           43              1             0               0              0
      77           35              1             0               0              0
      78           37              1             0               0              0
      79           39              1             1               0              0
      80           41              1             0               0              0
      81           37              1             1               0              0
      82           40              1             1               0              0
      83           40              1             1               0              0
