#Frame           phi1         psi1
     215    -170.8330     -41.8616
     216    -138.6200     -12.3363
     217    -145.7149      -8.8123
     218    -135.9797     -16.6645
     219    -143.2775     -11.9495
     220    -155.0587     -31.4149
     221    -149.5315     -31.9329
     222    -139.7823     -25.3894
     223    -151.7592     -42.2861
     224    -168.4873     -18.0719
     225    -139.6464     -22.1865
     226    -136.4861     -29.3952
     227    -148.3780       0.2005
     228    -141.5039      -3.6131
     229    -143.4426     -28.0016
     230    -138.8152     -19.0877
     231    -139.0333     -42.4815
     232    -158.7496     -19.5505
     233    -149.5927     -18.1815
     234    -134.8210     -39.9633
     235    -150.5793     -23.7489
     236    -148.2843       8.6986
     237    -146.6671     -13.5020
     238    -138.2398     -14.7237
     239    -149.9285     -41.4516
     240    -145.1911     -10.9231
     241    -142.4328     -20.7327
     242    -141.6089     -22.3889
     243    -138.9555     -25.1268
     244    -155.6069     -38.4950
     245    -151.3589     -29.3697
     246    -135.2479     -35.9631
     247    -150.5101      -2.8046
     248    -125.0529      -7.9175
     249    -165.7984     -24.6792
     250    -140.9705     -19.5403
     251    -156.4745     -24.6674
     252    -167.8529     -42.3640
     253    -173.9224     -11.0612
     254    -172.8084      -9.6002
     255    -159.4438     -14.9359
     256    -175.7663     -14.0569
     257    -172.1806     -25.8395
     258    -177.2900      17.1233
     259    -165.3180     -42.1707
     260    -155.8044     -40.0726
     261    -154.7170     -10.7933
     262    -154.0726      18.8605
     263    -163.5123     -54.1933
     264    -166.8639     -31.7823
     265    -164.5280     -31.0415
     266    -157.5194     -29.9175
     267    -176.8907     -22.1427
     268    -157.6960       5.3502
     269    -156.9249      17.4485
     270    -149.0102     -26.9110
     271    -145.6746     -20.3471
     272    -141.8732     -32.3582
     273    -141.0370      -5.0973
     274    -158.1043     -22.3438
     275    -164.0450     -11.2052
     276    -159.4352     -22.9902
     277    -152.9055     -44.5530
     278    -147.2415     -15.7476
     279    -146.3370     -30.9711
     280    -155.7758       4.9086
     281    -145.1255     -20.8979
     282    -158.5798      -2.6633
     283    -159.6931     -16.4962
     284    -168.1913     -36.6312
     285    -135.1277     -32.2057
     286    -143.7843      -7.3559
     287    -152.9662     -25.7113
     288    -147.4435     -10.2437
     289    -149.3120     -31.3632
     290    -148.3784     -52.8410
     291    -150.0977     -54.1362
     292    -137.1048     -37.0364
     293    -145.7859     -18.5163
     294    -137.7204     -24.2806
     295    -142.6981     -29.2513
     296    -161.3237     -39.0929
     297    -145.1687     -27.1042
     298    -161.9622     -31.0069
     299    -155.4994     -14.0863
     300    -150.3106     -43.5410
     301    -141.6094     -34.1093
     302    -143.2672     -41.2596
     303    -158.9817     -22.2140
     304    -150.1099     -39.6670
     305    -159.5211     -15.7889
     306    -143.5113     -13.7368
     307    -144.7093     -33.7270
