#Frame            phi          psi
     226     -79.5145      -8.7106
     227     -75.8954     -39.1716
     228    -122.8691      10.8503
     229    -129.2619     -68.5252
     230     -73.1874     -33.7909
     231     -70.3543     -57.0507
     232     -91.1822     -62.1561
     233    -122.4961     -26.9654
     234    -101.0663     -21.6741
     235     -93.2609     -40.6654
     236     -76.1372     -81.8441
     237     -58.4315     -49.1202
     238     -65.5038     -44.5281
     239    -114.3613    -107.2472
     240    -108.0826    -119.7571
     241    -106.3106    -119.8519
     242    -126.6707    -155.4413
     243     -76.3234     157.6364
     244    -118.6649     176.5361
     245    -114.5591    -144.9670
     246     -86.5212     178.3205
     247     -72.8090     160.2687
     248    -113.2850    -162.9429
     249     -80.6151     158.3587
     250     -93.6208     163.2239
     251     -92.2154     172.0074
     252    -110.8184    -171.9850
     253    -102.3327     124.9278
     254     -75.5377     165.3651
     255     -91.2144     161.6406
     256     -57.5997     134.8222
     257     -89.5551     158.9324
     258    -120.4259     157.7025
     259     -68.4557     142.0150
     260     -76.3659     147.2619
     261     -76.3160     137.3464
     262     -57.9702     143.8976
     263     -64.1795     149.6141
     264    -116.2797     176.0213
     265     -78.7197     158.7578
     266     -84.9934     166.6368
     267     -69.5272     146.5970
     268     -64.8879     144.5979
     269     -67.2218     153.5812
     270    -136.6575     156.1858
     271     -83.4262     161.7008
     272    -127.7390    -104.0845
     273     -83.8351    -153.2626
     274     -68.9068     158.7379
     275     -85.7736     155.9997
     276     -64.3311     160.5596
     277     -73.2181     160.3354
     278     -73.0061     151.6131
     279    -113.7770     143.9158
     280    -106.2327     162.5344
     281     -81.4929     153.5891
     282    -100.1352     167.2341
     283    -111.2343     175.4312
     284     -84.0771     160.9459
     285     -70.1385     165.1271
     286     -58.5213     133.3080
     287     -71.5970     144.7429
     288     -74.0377     163.8692
     289     -63.4197     168.0251
     290     -83.7112     160.3017
     291     -76.5089     128.5800
     292     -95.6629     142.4079
     293    -136.4546     161.5782
     294     -87.1115     136.0623
     295     -72.7167      95.5851
     296     -86.5868      68.2955
     297     -77.2859      73.1372
     298     -90.6435      62.2664
     299    -129.9227      70.1334
     300     -86.4340      81.8113
     301    -104.8358      77.2994
     302    -130.7556      77.3703
     303    -117.0355      65.0144
     304    -108.4909       8.9468
     305    -104.7467      21.1812
     306     -99.7192       3.5733
     307    -113.2638     -19.2649
     308     -80.0948     -11.3312
     309    -102.3216     -33.9055
     310    -108.9104      15.4293
     311     -79.8652     -35.5962
     312     -92.7128      -0.7264
     313     -82.8599     -72.0975
     314    -119.7720    -100.1929
     315     -92.8856    -141.2743
     316     -81.2230     158.3544
     317    -103.8387     138.9055
     318    -115.0370     160.6358
     319     -84.3884     159.2317
     320     -76.9102     134.4639
     321     -97.1088     165.8284
     322     -91.9956     179.0031
     323     -87.0359     172.6931
     324     -92.7282     170.9681
     325    -128.7582    -160.7467
     326    -108.5809    -170.8233
     327    -110.5069     117.7768
     328     -98.4606      70.4365
     329     -75.2624      64.2996
     330     -88.4331      84.8177
     331     -84.5147      70.9733
     332    -131.0580      96.1391
     333    -129.9618      69.8876
     334    -133.5788     113.7657
     335     -76.3541     146.4363
     336     -85.5890     108.6883
     337    -100.2637      65.5873
     338     -65.3684     142.7575
     339     -98.8966     156.4823
     340     -79.7217     146.1889
     341    -116.8040     160.1669
     342    -125.9843     170.8965
     343     -64.0166     145.9629
     344    -123.6942     147.2374
     345     -68.9596     155.8241
     346    -111.2063      91.8914
     347    -108.2481     149.3646
     348     -87.3200     159.3495
     349     -96.4207     146.1570
     350     -63.8512     152.5703
     351     -88.5299     153.6007
     352    -105.3346     146.3258
     353     -95.8373     144.4342
     354     -82.3032     145.6336
     355     -98.8807     171.2313
     356     -92.5760     177.5658
     357    -138.6850     167.8963
     358    -127.5106     166.9715
     359     -85.0731     166.2270
     360     -63.2955     157.4192
     361     -73.9388     156.3755
     362    -103.4612     102.4987
     363    -106.1283      81.5926
     364     -90.8110     102.8164
     365     -80.3488     115.9431
     366     -98.6733     139.3632
     367     -76.6171     163.9994
     368     -87.6772    -167.7468
     369     -64.0495     131.7133
     370    -137.3200     169.2300
     371    -101.4570     156.5939
     372     -58.2678     144.1284
     373     -72.7530     137.0993
     374    -128.3244      76.2967
     375     -89.6073     115.6637
     376     -82.3615      75.7533
     377     -71.9203      74.3639
     378     -63.5393     133.1197
     379     -84.6610     156.2648
     380     -74.3654     134.4631
     381     -83.5888     151.9486
     382     -89.8638     151.0464
     383     -59.3412     132.0219
     384    -115.0109     167.5813
     385    -112.5457     178.9232
     386    -142.8220     169.6144
     387    -120.0209     134.4636
     388     -88.1096     164.5029
     389     -98.9048     128.0951
     390    -132.4920     153.6174
     391    -106.7144     154.6925
     392    -115.4237     145.9901
     393     -96.7361     118.8293
     394     -74.1831     160.4670
     395     -90.2901     170.2103
     396     -90.6790     158.8912
     397     -78.4721     136.3943
     398     -86.5635     150.6891
     399    -125.8827     148.6911
     400    -111.1466    -129.8460
     401     -61.1121     147.0371
     402     -69.3991     150.7141
     403     -73.9948     162.8206
     404     -49.5149     153.4251
     405     -83.9939     152.2843
     406    -119.6657     156.0676
     407    -117.1037    -117.5026
     408     -90.9603    -176.3647
     409    -100.2948    -158.2298
     410     -90.1728     169.7527
     411     -70.4091     141.8074
     412     -83.0812     150.8610
     413    -116.0532     161.1928
     414     -95.5319     157.3485
     415     -84.7474     165.9534
     416     -65.0586     149.3515
     417     -72.0295     164.5217
     418     -95.5398     166.6756
     419    -123.8378     150.5146
     420     -94.9601     146.3285
     421     -67.1379     124.4675
     422     -91.9896     171.7125
     423     -90.5710     173.7074
     424     -79.9027     161.6451
     425    -109.5214     163.2928
     426     -99.0455     127.3264
     427     -51.9049    -144.8811
     428     -80.0212     152.5735
     429     -61.7698     145.2600
     430     -69.0853     127.7099
     431     -79.7712     151.1707
     432    -102.6095     155.1742
     433     -80.5758     160.2387
     434     -60.2267     157.9998
     435     -97.0866     147.0100
     436     -74.9613     132.4652
     437    -132.6185     142.7578
     438    -172.4597     139.8336
     439    -146.8313     155.7118
     440     -74.2321     171.5147
     441    -126.7947     128.6191
     442     -79.9330     150.7798
     443     -75.0889     162.5686
     444    -106.8270     142.5350
     445    -133.6575     163.3354
     446     -68.0178     172.4143
     447     -94.4827     135.1185
     448    -120.9366     155.8375
     449    -106.8508     135.7588
     450     -54.5386     116.2375
     451     -76.3056     161.8956
     452    -100.7791     139.2122
     453     -70.2508     147.6329
     454    -133.2470      74.8464
     455     -96.0182      93.2922
     456    -150.0758     122.8442
     457     -90.6427      73.8758
     458     -59.3808     119.4256
     459     -44.0412     132.3225
     460     -69.6368     158.1759
     461     -62.8187     146.1478
     462     -69.3250     177.8650
     463     -70.1451     147.0508
     464     -66.9311     134.0875
     465     -81.0625     172.7983
     466     -60.3220     157.7843
     467    -121.8746     134.1701
     468    -143.1685     127.1603
     469     -63.2376     122.2715
     470     -83.5573     126.3310
     471    -138.9889      66.0656
     472    -116.3801      85.3283
     473    -146.6707      93.6655
     474    -114.8816     144.4991
     475     -82.4503    -176.0640
     476     -60.7815     159.9298
     477     -62.8152     122.6566
     478    -105.8762     115.4739
     479    -169.6430      81.6511
     480    -147.6576      92.7089
     481    -115.3965      91.9601
     482     -87.5396     139.1706
     483     -66.5422     132.3257
     484     -88.0876     137.8895
     485     -66.7310     145.3100
     486     -88.9388     148.0106
     487     -61.9320     142.0968
     488     -73.5943     155.5397
     489     -65.4377     162.9934
     490     -95.5725     148.4873
     491     -81.8004     151.5025
     492     -67.1932     135.2946
     493    -135.2992     116.6326
     494    -142.9351     137.6812
     495     -75.7417     135.4914
     496     -57.3022     125.6080
     497     -66.4868     133.2203
     498     -96.5184     127.2733
     499    -107.6144     147.6616
     500    -113.1305     129.6388
     501     -70.1743     150.9945
     502     -92.9507     146.4094
     503     -66.0820     149.1680
     504     -47.9808     141.9493
     505     -65.0106     165.2781
     506     -92.0244    -147.0846
     507    -111.7644    -121.6932
     508    -171.2626     179.9533
     509    -160.1959    -176.5086
     510    -140.5964     171.3255
     511    -154.3789     158.1231
     512     -89.0709     136.6006
     513     -82.0277     145.7725
     514     -52.5026     130.4113
     515     -76.0198     152.4955
     516     -72.4875     155.0591
     517     -82.8786     145.0588
     518    -134.7501     145.0698
     519    -106.0525     154.0517
     520     -68.0534     156.7069
     521     -66.6992     160.7741
     522     -76.8471    -177.3556
     523     -89.1817     147.8986
     524     -82.5372     142.1204
     525    -109.9110     155.9373
     526     -75.7677     159.0977
     527    -110.0459     151.8061
     528     -70.0307     130.1106
     529    -103.1352     131.8112
     530    -140.4063     173.0410
     531     -65.4080     148.6625
     532     -82.9461     150.1213
     533    -106.7371    -130.8906
     534    -168.5087    -128.2992
     535    -166.3723    -142.4549
     536     -89.5521    -138.0936
     537    -129.4359    -126.3626
     538    -112.5020     -38.4928
     539     -79.7890     -41.3948
     540     -81.5192     -36.7351
     541     -70.7203     -54.5009
     542     -89.4250     -23.3711
     543     -53.9960     -57.6933
     544     -87.9889     -36.7901
     545    -111.7076     -96.7056
     546     -82.8511    -114.1596
     547    -145.6270    -154.5701
     548     -90.2313     -35.6748
     549     -67.3140     -30.4318
     550    -112.9856     -36.9685
     551     -79.2826     -57.8854
     552     -93.6725     -62.1699
     553    -111.5097     -51.7450
     554    -119.1344     -52.0209
     555    -126.3263     -62.3613
     556     -69.5533     -39.6866
     557     -70.6823     -56.9186
     558    -158.7631     -56.8078
     559    -172.5628     -50.3120
     560     -90.2030     -60.0306
     561     -81.2372     -37.2302
     562    -148.1471      -8.2584
     563     -74.1493     -59.9435
     564    -160.4650     -54.0599
     565    -169.6407    -137.1216
     566    -105.9321     -63.9076
     567    -100.6641    -120.9005
     568     -84.2342    -166.6073
     569     -94.3707    -158.5898
     570     -89.5346     170.6545
     571    -127.6493    -153.6136
     572     -90.8301    -133.1464
     573    -138.8536    -146.3441
     574    -148.0553     165.1974
     575    -157.1562    -174.2831
     576    -133.2054     175.7395
     577    -132.7881     160.2311
     578    -141.5170     142.8994
     579    -111.5894     142.8662
     580     -75.8732     139.3148
     581     -54.9571     145.5603
     582    -117.2898     142.7136
     583     -55.8493     123.3158
     584    -113.8603     131.9701
     585     -63.5490     122.4155
     586     -64.7410     130.3590
     587    -121.3839     135.2817
     588    -105.3376     141.9073
     589     -58.3190     124.5774
     590    -121.0258     134.8832
     591    -111.9446     154.7511
     592     -86.6769      89.8529
     593    -115.3892      87.4093
     594     -91.7117     105.8026
     595    -133.6386      75.7953
     596    -142.3737      51.7210
     597    -142.0788      77.8158
     598     -84.5573     122.0809
     599     -70.6351     123.5966
     600     -74.6833     124.0062
     601     -78.0779     147.4395
     602    -104.2170     129.7193
     603     -74.7037     132.8455
     604     -81.5195     157.8107
     605     -81.3254     149.4270
     606     -67.5083     153.9182
     607    -141.8729    -160.1910
     608    -137.9048     174.6149
     609    -106.8143     149.2710
     610    -132.3868     134.2095
     611     -82.1699     168.9068
     612     -64.5534     153.7673
     613     -62.1726     152.0307
     614     -95.8324     167.8158
     615     -70.3344     151.2787
     616     -89.8943     175.7433
     617    -136.8566     152.6430
     618    -161.5982     172.2591
     619    -148.2078     160.1261
     620    -162.0727     171.1036
     621    -133.4948     162.9847
     622    -171.6631     163.7139
     623     -83.2494     177.3212
     624     -74.4100     156.8338
     625     -78.8986     167.1909
     626     -70.8943     154.9816
     627     -78.0983     148.8210
     628     -90.3747     112.0022
     629     -68.8036     151.0778
     630     -89.5628      96.6694
     631     -63.7692     124.5984
     632     -98.9211     123.2019
     633     -76.0559     119.9600
     634    -115.7974     113.0173
     635     -58.8749     130.2288
     636     -65.1246     144.7892
     637    -109.0961     131.6722
     638     -82.0880    -170.6290
     639    -125.4328    -163.2935
     640    -157.3819    -167.9508
     641    -147.7898    -167.4012
     642    -136.7771     161.0410
     643    -122.7885    -172.6805
     644    -113.4398     144.6548
     645    -139.0453     164.9079
     646    -154.3379     151.2284
     647    -135.4034     136.3684
     648     -80.6693     144.6475
     649     -64.2682     141.9291
     650    -142.7042     144.1347
     651    -164.5828     173.7395
