#Frame            phi          psi
     226     -72.1013    -175.5434
     227    -170.4483     148.6113
     228    -169.4841     151.7737
     229    -136.7586     143.7786
     230     -79.0737     135.5439
     231     -68.5012     173.4571
     232     -64.8338     148.2422
     233     -68.8175     163.7530
     234    -147.5152     123.1925
     235    -155.5021     163.7417
     236    -126.6506     162.5909
     237    -141.6647     138.6985
     238     -76.7758     165.9938
     239     -60.0566     139.0670
     240     -49.5982     139.7490
     241     -54.5431     138.6233
     242     -55.3039     167.9794
     243     -48.3818     142.3821
     244     -94.1626     177.6240
     245     -75.3931    -174.2616
     246     -96.0120     165.9079
     247     -63.7512     145.8111
     248     -71.9763     169.1119
     249     -67.7207     150.5502
     250     -74.0374     150.7430
     251     -93.7946     140.7590
     252     -83.2936     143.4412
     253     -45.9164     130.2366
     254     -84.5393     163.5766
     255     -68.3419     156.8293
     256     -62.3439     155.4531
     257     -89.3732     175.3082
     258    -104.2232     154.7750
     259     -62.3988     144.4484
     260     -53.7424     153.9405
     261     -77.4987     133.8943
     262     -65.3565     157.1047
     263     -72.2493     141.6613
     264     -70.9730     144.6672
     265     -77.5102     155.8137
     266     -59.6205     143.1906
     267     -64.2104     101.3905
     268     -68.7272     149.4352
     269     -97.4286     169.2767
     270     -67.3303     138.7531
     271     -80.0595     138.3916
     272     -69.7600     176.0503
     273     -82.4438     172.4111
     274     -75.9051    -177.9624
     275     -84.4266     135.7767
     276     -60.2901     152.8449
     277     -66.2504     142.4663
     278     -62.1108     163.7115
     279     -65.1140     151.2267
     280    -161.5613     148.6134
     281    -125.5791     144.1751
     282     -90.5271     156.6702
     283    -164.2167     141.8440
     284     -91.1057     153.0277
     285     -75.1532     125.9366
     286     -64.9617     137.3980
     287     -66.9533     152.5769
     288    -116.8099     139.5238
     289     -77.4380     173.4896
     290     -55.1896     142.9335
     291     -95.3747     179.9706
     292     -81.0189    -172.8587
     293     -77.0628    -173.8920
     294     -70.8250     156.3941
     295     -68.3343     153.7559
     296     -98.7582     175.5893
     297     -77.9552    -169.8626
     298    -164.1411    -177.9397
     299    -133.8639    -155.1872
     300    -173.9064     177.3258
     301     -79.2251    -171.7720
     302     -45.7057     154.6331
     303     -77.0429     145.7301
     304     -89.1949     159.1108
     305     -62.2239     166.1956
     306     -62.7157     146.8458
     307     -62.0037     142.5481
     308     -82.8959     167.5512
     309    -107.1033    -170.2431
     310     -77.9929    -178.9376
     311     -73.1071     166.1575
     312     -82.8039    -167.1660
     313    -131.3902     139.7156
     314     -73.1603     157.8095
     315     -55.2691     156.9578
