#Frame             d1           d2
     246      13.4350       6.5270
     247      12.4590       6.3919
     248      12.4417       5.0205
     249      12.2506       5.5850
     250      11.2567       4.6498
     251      11.7640       5.2203
     252      11.7489       5.9668
     253      11.2108       6.6224
     254      13.0117       5.7760
     255      13.4631       6.4324
     256      13.4181       6.4918
     257      13.8437       5.4920
     258      11.2950       6.3686
     259      13.1470       6.1050
     260      11.9865       5.5578
     261      13.2005       6.5213
     262      12.8420       7.3826
     263      13.3634       6.8869
     264      12.1769       6.1951
     265      14.1304       6.8689
     266      12.8924       6.2340
     267      11.3995       6.6771
     268      13.3131       6.0155
     269      15.0117       6.6758
     270      14.0126       6.6409
     271      12.4203       7.8116
     272      12.5607       7.4386
     273      13.9005       8.1858
     274      14.6347       7.7612
     275      13.4668       6.9718
     276      12.5879       7.1168
     277      11.3142       6.9350
     278      14.7982       7.5611
     279      14.3395       7.3741
     280      13.5712       7.8251
     281      12.3541       6.8439
     282      12.8032       7.3050
     283      13.2122       6.6926
     284      12.8432       7.4686
     285      11.2230       7.8217
     286      14.0791       7.5670
     287      13.8892       7.3288
     288      14.4895       7.6134
     289      13.6220       7.6672
     290      14.2295       6.8966
     291      14.3039       6.8411
     292      13.6862       7.5014
     293      14.2954       7.8401
     294      13.4950       6.9871
     295      14.6695       6.7821
     296      13.5033       6.9373
     297      13.6470       8.1246
     298      12.9681       8.0967
     299      12.1468       7.6198
     300      11.0720       7.4311
     301      10.7743       7.5433
     302      11.4783       7.6748
     303      11.1876       8.5063
     304      12.9538       8.1142
     305      12.9918       7.5686
     306      12.4265       7.5542
     307      12.6394       8.6247
     308      11.8003       7.6460
     309      11.9461       7.7560
     310      11.0010       7.8809
     311      11.6876       6.9574
     312      10.7617       7.3445
     313      11.0558       7.7388
     314      11.1363       7.2104
     315      11.4925       8.3145
     316      12.2912       7.8501
     317      11.8557       7.5094
     318      11.9751       8.0488
     319      13.5375       7.8218
     320      13.5604       7.8398
     321      12.9342       8.2093
     322      14.2057       7.7572
     323      12.3526       8.6457
     324      13.4735       8.1576
     325      13.8266       8.8249
     326      15.0399       7.8261
     327      13.6757       7.4862
     328      13.4444       7.3499
     329      14.2771       7.2387
     330      14.1987       7.8795
     331      14.2358       7.0218
     332      14.0199       7.6954
     333      13.4657       7.4137
     334      14.3763       7.7884
     335      13.8821       7.2983
     336      12.9075       7.9231
     337      13.6623       8.3861
     338      13.3629       7.8982
     339      11.8765       7.8154
     340      13.6204       7.0227
     341      13.2498       7.9998
     342      13.5676       7.5603
     343      13.6974       7.9032
     344      13.0408       8.1911
     345      13.5990       6.9728
     346      13.3295       6.7403
     347      13.3578       8.2039
     348      13.2705       7.8942
     349      14.0415       7.6537
     350      13.4556       7.3842
     351      13.2852       7.8271
     352      13.4142       7.8044
     353      12.8224       7.4094
     354      14.3158       7.0406
     355      12.1162       7.4382
     356      10.8220       7.4077
     357      11.5840       7.7454
     358      13.3517       8.0891
     359      12.4102       7.6125
     360      12.2411       7.3695
     361      12.1867       6.5711
     362      12.4210       7.9434
     363      11.4008       7.3774
     364      12.2468       6.8358
     365      12.8450       6.8468
     366      12.3050       8.4372
     367      11.5609       8.7879
     368      11.5808       7.0128
     369      13.4434       6.8063
     370      12.6416       7.5570
     371      12.4419       8.0403
     372      11.5572       8.1294
     373      12.0676       7.7149
     374      11.1460       7.7336
     375      11.1527       8.0634
     376      12.1144       7.9085
     377      10.4948       7.3606
     378      11.9983       7.1332
     379      11.3010       7.2655
     380      12.7606       7.1214
     381      12.5812       6.3399
     382      10.4190       7.5284
     383      10.6591       6.3650
     384      10.7803       8.1917
     385       9.8233       6.3560
     386      10.4554       6.1064
     387      10.3171       6.0992
     388      12.4262       7.2629
     389      10.6158       6.7146
     390      10.5475       6.4872
     391      12.8633       7.0615
     392      10.7386       5.8649
     393      11.1868       7.2562
     394      12.1611       7.0858
     395      12.8496       7.4876
     396      12.5465       6.1767
     397      12.2421       6.7511
     398      11.5902       6.4708
     399      10.0673       6.5217
     400      11.3510       6.0463
     401      10.5427       6.3782
     402      11.6206       6.2991
     403      12.2188       5.9457
     404      11.1315       6.4508
     405      10.0474       6.7753
     406      13.0679       7.1221
     407      10.3387       6.5339
     408      12.5961       5.9739
     409      13.4827       6.1987
     410      12.9454       7.0369
     411      11.0753       7.5908
     412      10.7793       6.4830
     413      11.3572       6.7862
     414      11.5023       5.1052
     415      13.6552       6.5652
     416      11.0592       6.5815
     417      12.0174       6.0042
     418      11.7187       6.1715
     419      13.2643       7.9569
     420      12.3983       7.8945
     421      11.8832       6.5036
     422      12.6154       6.9594
     423      11.9543       7.8209
     424      12.5575       6.5440
     425      11.7808       6.9672
     426      11.3245       6.6668
     427      12.4344       6.1224
     428      13.2817       6.0558
     429      13.5235       7.6814
     430      12.1216       6.5920
     431      12.6198       5.8750
     432      11.1529       5.8466
     433      12.5114       5.8945
     434      12.9268       5.7091
     435      12.9820       6.5761
     436      13.5993       6.5153
     437      12.6813       6.3122
     438      13.4373       6.9136
     439      12.4965       6.5592
     440      12.3546       6.5102
     441      12.2134       5.9577
     442      10.4362       5.8940
     443      10.2677       5.6190
     444      12.3066       5.1677
     445      10.7626       4.3221
     446      10.1131       5.1332
     447       9.3841       5.8402
     448      10.7222       5.4149
     449      11.7096       5.3094
     450      10.8239       6.0315
     451      11.6922       5.3280
     452      11.8422       7.2914
     453      11.0346       8.7832
     454      10.6496       6.4484
     455      11.5564       5.5141
     456      11.4587       4.6139
     457      11.8544       4.5617
     458      11.0335       4.4636
     459      12.6859       5.6834
     460      11.2047       5.2981
     461      10.6961       6.1440
     462      11.2214       7.0500
     463      12.5390       7.9048
     464      12.1082       7.5686
     465      10.9735       6.0844
     466      11.0384       4.8379
     467      12.0331       4.9578
     468      11.8811       5.3861
     469      11.0503       5.1519
     470      11.6613       4.9959
     471      10.8119       5.7413
     472      11.2421       5.0028
     473      11.1460       5.0590
     474      10.8731       5.3546
     475      11.7047       5.3107
     476      12.1327       4.3792
     477      10.7716       4.3526
     478      11.8693       3.8540
     479      10.4425       3.7393
     480       9.6598       3.9447
     481       9.8698       4.9937
     482       8.2569       4.7134
     483       9.9926       3.5263
     484      10.7185       4.2388
     485       9.1940       3.6898
     486       9.9074       3.8947
     487      10.0718       4.2580
     488      10.4041       4.4065
     489      11.6639       4.9086
     490      11.7980       4.9234
     491      10.5821       4.7558
     492      10.5080       5.6791
     493      10.2417       4.8971
     494      12.7149       5.8793
     495      12.2400       5.8456
     496      12.1925       5.6549
     497      12.2215       6.1714
     498       9.9940       5.8505
     499       9.0190       5.4868
     500      10.1137       5.7414
     501      10.1618       6.1951
     502      11.3469       6.3834
     503      10.3470       5.7592
     504      11.8908       5.8277
     505      11.3020       5.8244
     506      11.5424       5.4517
     507      10.5529       4.8837
     508      10.7274       5.6359
     509       9.5825       5.7754
     510      11.5531       5.0806
     511      10.6481       4.3919
     512       8.3431       4.5715
     513       8.6430       4.8075
     514       8.0892       4.4280
     515       9.2964       5.4475
     516       9.3713       5.4591
     517       8.7508       6.3357
     518       8.2269       8.9428
     519       8.4056       6.9594
     520       8.7984       7.0220
     521       7.9365       8.4596
     522       7.2701       7.3382
     523       9.0221       8.0909
     524       9.8386       7.7593
     525       9.3032       7.9130
     526       9.2060       7.7351
     527      10.6518       5.9728
     528       9.3470       7.9802
     529      12.1753       7.4142
     530      11.7992       8.8104
     531      12.6579       7.8839
     532      12.1378       8.0816
     533      10.6303       9.4062
     534      10.7609       9.3048
     535      11.2189       8.9816
     536      10.9668       8.7275
     537       8.4096       8.5174
     538       9.9151       8.6207
     539      10.9166       8.2402
     540      11.4677       8.3876
     541      10.0629       8.1174
     542       9.5244       8.7576
     543      11.1379       7.7157
     544      10.5645       6.9734
     545      10.6558       7.2361
     546      11.7433       7.2996
     547      11.5691       8.5098
     548      11.9609       7.9432
     549      11.8527       8.6055
     550      13.9698       7.7605
     551      13.7142       8.7840
     552      15.2567       7.5975
     553      14.1865       7.2319
     554      13.4046       7.7484
     555      13.2078       9.0189
     556      13.9325       9.0998
     557      14.3690       7.4516
     558      14.6714       9.4564
     559      13.9445       9.6363
     560      14.2237       9.4755
     561      13.3953       8.7599
     562      13.5896       9.9325
     563      14.3326      10.5702
     564      14.0297       9.7808
     565      13.1102      10.6035
     566      12.8253      10.0804
     567      13.7130      10.1242
     568      13.1832      10.4629
     569      13.0076       9.7230
     570      12.8851       9.6806
     571      13.2912      10.2268
     572      12.2063      11.6759
     573      11.9116      11.7105
     574      12.0991      10.2973
     575      12.3342      11.8596
     576      13.0741      11.3734
     577      13.0331      10.5911
     578      12.0437       9.3354
     579      12.7205      10.2308
     580      12.1212      10.6717
     581      11.8165      10.5173
     582      12.3875      10.4402
     583      11.4332      11.3447
     584      11.5725       9.8343
     585      12.1686       9.9585
     586      12.4426       9.1315
     587      12.9880       9.4567
     588      13.3002       9.3323
     589      12.3916       9.7487
     590      13.3927      10.2042
     591      13.7592      10.3225
     592      13.5688       9.6428
     593      13.7184      10.0588
     594      12.9455      10.2674
     595      13.8858      11.0607
     596      14.1975      10.2542
     597      14.8970      10.9018
     598      14.1597      11.0224
     599      13.9371      10.1665
     600      12.5976       9.9458
     601      12.5897      10.1350
     602      14.0576      10.3930
     603      14.7273       9.6883
     604      14.4732       9.5023
     605      13.6087       9.1041
     606      14.4949       8.8552
     607      12.9503       9.2996
     608      11.6930       9.0143
     609      14.2980       8.6678
     610      13.1130       8.4312
     611      13.1408       9.1465
     612      12.7812       9.0159
     613      12.2234       9.1306
     614      14.0840       9.5600
     615      13.9323       8.8312
     616      13.1608       8.8836
     617      12.8515       8.5276
     618      12.8658       9.6510
     619      13.5699       9.3185
     620      12.4359       9.5075
     621      12.3819       9.6546
     622      12.2371       8.3787
     623      13.1667       9.2932
     624      12.7365       8.1911
     625      12.5891       9.1762
     626      12.6146       9.0903
     627      12.2115       8.9124
     628      11.8246       8.8229
     629      10.7015       8.2446
     630      10.5496       9.0405
     631      10.0950       9.2214
     632      10.2914       9.3235
     633      11.9941       9.2619
     634      10.6110       9.3436
     635      10.9916       8.7142
     636      10.7945       9.0657
     637      11.7050       9.6738
     638      11.9528       9.6461
     639      10.8201       9.8455
     640      10.1252      10.1818
     641      10.8143       9.4513
     642      10.2473       9.9356
     643      10.3242       9.7910
     644      10.4744       9.7543
     645      10.0046       9.9199
     646      12.1536      10.0032
     647      12.4160       9.7832
     648      12.6439      10.2950
     649      10.8429      10.1171
     650       9.5342      10.2898
     651      13.1623       9.9868
     652      12.1791      10.9130
     653      13.2249      10.6136
     654      12.2016      10.4286
     655      13.1102      10.3074
     656      12.8101      10.1527
     657      13.9313      10.0814
     658      13.6698      10.2244
     659      14.4964       9.9546
     660      14.3172       9.5444
     661      13.3874       8.6678
     662      12.7562       9.9552
     663      13.0715      10.2911
     664      13.5086      10.1387
     665      13.1279       9.8781
     666      13.4664      10.8439
     667      13.1356      10.8158
     668      13.5017      10.2791
     669      13.1416      11.2782
     670      14.0973      11.9899
     671      12.0810       9.9152
     672      12.1542      11.3933
     673      11.6113      10.6658
     674      12.0730      10.4472
     675      11.1261      11.5672
     676       9.5591      10.4971
     677      10.3510      10.9820
     678       9.8401       9.2216
     679       9.1967      10.3968
     680      10.6477      10.6189
     681      11.1451       9.8277
     682       9.9366      10.8119
     683      10.0470       9.4142
     684      10.3730       9.5980
     685       8.9321       8.7284
