#Frame             d1           d2
     246      14.7346       5.3430
     247      14.6850       6.2176
     248      16.0046       7.0309
     249      16.3179       6.6029
     250      14.6382       6.3615
     251      13.7559       6.6893
     252      15.2596       5.7417
     253      14.3410       6.3974
     254      14.3532       5.1541
     255      12.7181       4.9196
     256      11.0847       5.9100
     257      12.0579       6.2228
     258      14.3861       4.9119
     259      14.9589       6.2403
     260      13.3832       5.3402
     261      14.1585       5.7102
     262      15.4219       4.4241
     263      15.2813       6.5441
     264      15.1598       6.9594
     265      15.1353       6.7258
     266      13.9583       8.3188
     267      15.4322       7.6003
     268      14.7191       7.5291
     269      15.5556       8.1760
     270      15.0920       6.9250
     271      14.6632       7.0937
     272      13.6245       7.0018
     273      14.5588       6.4613
     274      14.7119       5.1919
     275      13.6419       7.1852
     276      14.6859       6.7199
     277      14.6479       6.3882
     278      14.4876       7.4363
     279      14.4539       7.0709
     280      15.5812       8.7696
     281      15.1188       8.5521
     282      14.6446       9.4566
     283      13.3393      10.4436
     284      14.1725      10.4004
     285      13.6803      10.6655
     286      13.4486      11.0867
     287      14.1142      10.1566
     288      14.3978      10.7953
     289      15.0699       9.8260
     290      15.4079      10.4335
     291      15.8345       9.9214
     292      13.0696       9.7832
     293      13.6360       9.9218
     294      12.0880       9.8246
     295      12.8393       9.1799
     296      12.1726       9.9141
     297      13.1002      10.0290
     298      12.0714       9.5808
     299      12.1840       9.9444
     300      12.5599      10.7739
     301      14.1456      10.3933
     302      14.1992      10.2845
     303      13.9939       9.0126
     304      14.4730       9.6450
     305      13.4538       9.1504
     306      13.2331      10.1620
     307      12.5303      11.0209
     308      14.0437      11.2618
     309      14.6147      10.5187
     310      13.3776      10.1318
     311      13.3826      10.7834
     312      12.2839      10.4000
     313      14.2806      10.8467
     314      15.5007      11.8302
     315      14.9869      10.8247
     316      15.0770      11.8446
     317      14.2257      11.4952
     318      15.0412      11.0848
     319      13.4434      10.7182
     320      14.1113       9.7747
     321      13.9917      10.8491
     322      13.9756      10.8297
     323      14.9251      11.2741
     324      15.3417      11.6171
     325      14.4377      12.1206
     326      15.3930      12.1892
     327      14.0129      11.4726
     328      14.8193      11.3637
     329      13.5802      11.5840
     330      13.9108      11.5574
     331      14.0110      10.8673
     332      14.6090      10.6963
     333      13.5205       9.7727
     334      14.4177      10.4991
     335      15.6800       9.4186
     336      13.9943      10.2238
     337      15.3359       9.8257
     338      15.4918       8.3030
     339      15.4771       8.5023
     340      14.9477       8.5529
     341      13.3341       7.8741
     342      14.0617       8.8548
     343      14.6222       7.5835
     344      14.7221       8.3412
     345      12.6989      10.2385
     346      15.0919       9.1482
     347      13.7177       8.5283
     348      14.4007       9.0240
     349      13.3494      10.7680
     350      11.1614      10.4355
     351      12.6493      10.4382
     352      12.0532      11.1130
     353      10.9215       9.4401
     354      10.4408      11.4262
