#Frame             d1           d2
     246       8.3417      10.1160
     247       7.4417      11.2827
     248       6.3133      10.6340
     249       5.9750      10.8589
     250       5.5587       9.9233
     251       5.9430      10.0650
     252       5.2313       9.8013
     253       5.8462      10.4682
     254       4.5269      11.0125
     255       5.3528      11.0681
     256       4.5634      10.5189
     257       5.4407       9.6208
     258       5.2876       9.3040
     259       5.7024       9.6751
     260       5.5114      10.1302
     261       5.2595      10.1325
     262       4.7452      10.2746
     263       6.2031      10.0081
     264       7.1565      10.0462
     265       8.4305      10.3776
     266       8.9588      10.8315
     267       9.2515       9.4636
     268       8.3813      10.6908
     269       7.9496      12.0955
     270       8.1878      10.7083
     271       8.9023      11.3414
     272       9.1429      10.3350
     273       8.8031       9.9681
     274       9.0006       9.1735
     275       9.0311       8.0865
     276       7.4273       9.3752
     277       8.5619       9.8762
     278       7.4409      10.6099
     279       8.9538      10.1596
     280       9.5252      11.3656
     281       9.0067      10.1910
     282       8.8871      10.2794
     283       8.8286      10.5675
     284       8.1942      10.4419
     285       8.7851      10.1602
     286       7.1334       9.9125
     287       6.8766       9.6654
     288       8.6916       9.3778
     289       7.2499       9.3844
     290       7.6423       8.7507
     291       7.7898       9.2608
     292       7.7459       9.8530
     293       8.2946       8.9200
     294       6.7220       9.7145
     295       6.5829       9.2557
     296       6.0482       8.7266
     297       6.5680       9.5249
     298       5.8863       9.6641
     299       5.3045       9.4182
     300       6.0744       8.7125
     301       6.5516       8.6794
     302       5.4924       9.1749
     303       5.4983       8.7856
     304       5.2440       9.9847
     305       7.1980       9.3040
     306       6.1851       9.8121
     307       6.8247      12.1599
     308       6.0093      10.5405
     309       4.7451      11.4051
     310       4.6336      10.8157
     311       5.8122      11.6191
     312       5.0078      11.0614
     313       5.7696      11.6257
     314       5.8965      11.2826
     315       6.2302      11.5205
     316       7.3473      11.0977
     317       6.7558      11.5075
     318       8.3013      11.3691
     319       8.8505      10.9492
     320       8.3092      10.9169
     321      10.0937      10.4719
     322       8.9397      11.0060
     323       9.4053      10.8136
     324       8.4418      10.5015
     325       8.9097      10.7697
     326       9.6798      11.0624
     327      10.4993      10.7918
