#Frame             d1           d2
     246      12.4260      11.7557
     247      11.4112      11.9417
     248      10.4265      11.3957
     249      13.8923      12.1292
     250      12.3291      12.6091
     251      13.3340      12.1592
     252      10.5996      11.1824
     253      13.2295      11.9198
     254      12.8644      10.9404
     255      13.4112      11.1314
     256      11.2551      11.2361
     257      12.7621      10.7973
     258      13.4087      11.8170
     259      11.1040      11.9121
     260      10.3946      10.9302
     261      11.7536      11.6490
     262      13.3184      10.7429
     263      11.5281      10.4191
     264       9.9093      11.2238
     265      10.7096      10.6115
     266       7.6877      11.4191
     267       9.1148      11.2305
     268       9.0575      11.2360
     269      10.3547      11.3887
     270       9.9285      11.6722
     271      11.6773      11.1587
     272      11.1411      11.7523
     273      10.9250      11.3463
     274      12.0103      11.5885
     275      13.0991      12.4825
     276      12.5563      12.5546
     277      12.8749      12.5020
     278      11.5217      12.9021
     279      11.9527      12.1510
     280      12.9441      12.0924
     281      11.7436      11.4812
     282      13.0223      11.8172
     283      12.8511      11.3964
     284      10.7249      10.3548
     285      11.0657      10.5196
     286       9.4801      10.0885
     287       8.4080      10.9218
     288       8.9902      11.0026
     289       7.1345      10.9425
     290       7.2542      12.1461
     291       6.7112      10.6092
     292       6.8640      11.7712
     293       7.4698      11.5211
     294       8.1470      11.3877
     295       8.1241      11.2124
     296       8.1896      11.0037
     297       7.1708      11.9401
     298       8.0442      11.3445
     299       8.4005      11.3230
     300       7.6172      11.6275
     301       8.3674      11.9352
     302       8.3540      12.1373
     303       9.7959      12.0268
     304       8.0444      11.4867
     305       8.3714      11.7308
     306       7.8397      12.3637
     307       7.9796      11.5375
     308       8.8180      11.7108
     309      10.4730      10.3742
     310      10.4242      11.0216
     311      10.2150      10.8086
     312       9.8044      11.5062
     313       9.4721      11.4647
     314      11.3429      11.2006
     315      10.9513       9.9110
     316      10.5927      11.2375
     317      12.4620      11.2074
     318      11.3169      11.4513
     319      12.6980      12.0148
     320      10.8033      11.4168
     321      11.2617      11.4025
     322      11.5864      11.8926
     323      10.3844      11.5917
     324      12.5712      10.4819
     325      11.9579      10.0012
     326      11.3812      10.7925
     327      12.3413      10.2179
     328      12.0813      10.8610
     329      11.6811      11.0115
     330      13.2751      10.3112
     331      13.2662      10.0570
     332      10.3654      10.2780
     333      11.1921      10.0968
     334      12.7257       9.6418
     335      11.5981       9.2349
     336      10.9088      10.4103
     337      11.5626      10.1951
     338      12.7646      10.5315
     339      10.8855       9.1723
     340      10.9149       8.9850
     341      10.6779       9.6037
     342      10.7907       9.6082
     343      11.0968       9.8400
     344      10.0776      10.0340
     345      11.9548       9.7987
     346      12.2117      10.0249
     347      12.7837      10.0953
     348      12.7692       9.0523
     349      11.7722       9.4063
     350      12.4666       8.6782
     351      12.9584       9.3803
     352      11.5570       9.3180
     353      12.6050       9.6787
     354      14.5365      10.6274
     355      15.3063       9.8426
     356      14.2847       9.7104
     357      12.9994       8.6252
     358      13.0002      10.0674
     359      14.2676      11.5237
     360      14.4435       9.9625
     361      14.1132      10.4906
     362      15.2382      10.4804
     363      15.8505      11.0087
     364      15.5372      11.2974
     365      13.3319       9.6943
     366      13.6365       8.7444
     367      13.5826       9.6851
     368      15.1559       9.8921
     369      14.6845      10.5989
     370      12.6662      10.3765
     371      11.5110      11.1790
     372      12.7338      10.3545
     373      11.0166      11.0364
     374      13.1656      12.2115
     375      13.1819       9.7179
     376      14.5605      10.4026
     377      13.8971       9.8664
     378      13.5151       9.9843
     379      13.3386      11.4210
     380      13.3514      10.4262
     381      14.9561       9.3184
     382      15.8674       9.6709
     383      15.8973      10.5880
     384      15.2219       9.9940
     385      15.8674       9.2448
     386      14.2832      10.6829
     387      14.7132       9.7464
     388      15.8840      11.1678
     389      15.5886      10.8087
     390      14.9578      10.7090
     391      15.5295      10.7458
     392      15.6972      10.6935
     393      16.6318      10.0661
     394      15.4030       9.5874
     395      15.2759       9.0106
     396      15.1111       9.4529
     397      14.7661       8.2950
     398      14.0137       8.6866
     399      13.9378       9.4961
     400      14.3620       9.6664
     401      14.9761       9.1826
     402      15.1774       8.5893
     403      14.6250       8.5147
     404      14.1931       9.2352
     405      14.2103       9.1038
     406      14.1537       8.4354
     407      15.9488       9.2937
     408      15.8675       8.9558
     409      16.3273       7.2672
     410      15.2764       8.0357
     411      15.2641       7.8279
     412      15.8403       7.9274
     413      14.2545       8.5044
     414      14.3319       8.4492
     415      15.4258       9.0819
     416      13.2417       9.0044
     417      15.4261       8.2953
     418      16.3706       8.6435
     419      15.0277       9.7159
     420      16.3389       9.8693
     421      15.5819       9.7582
     422      16.0159       9.7110
     423      14.8336      10.3209
     424      13.2962      10.8330
     425      13.3565      11.3807
     426      12.4803      11.8121
     427      13.9012      11.8628
     428      13.5128      12.1891
     429      15.3305      12.3680
